"Protein","Status","logFC","AveExpr","t","P.Value","FDR","B","Protein.panel_3","Protein.panel"
"PRDX5","M47_status",0.051033319,-0.128771233,2.733538021,0.006267904,0.014786992,-3.721524816,"Inflammation","Inflammation"
"PROS1","M47_status",0.025100158,-0.006875379,3.539169736,0.000401793,0.001167438,-1.121983876,"Inflammation","Inflammation"
"PRR5","M47_status",0.029508115,0.03555946,2.301189739,0.021385613,0.045133679,-4.710894152,"Inflammation","Inflammation"
"PRSS22","M47_status",0.036658933,0.029848439,3.746938735,0.000179237,0.000553293,-0.357500782,"Inflammation","Inflammation"
"PRUNE2","M47_status",0.02691987,0.019392038,3.362401604,0.000773335,0.002158986,-1.718650187,"Other","Oncology"
"PSCA","M47_status",0.178095894,-1.30768092,2.498090378,0.012490007,0.027615952,-4.248564053,"Other","Oncology"
"PSMD1","M47_status",0.040216965,0.04112961,2.895931111,0.003782185,0.009384827,-3.178787296,"Other","Neurology"
"PSME2","M47_status",0.023833723,0.01156708,2.27434531,0.022949376,0.048017915,-4.854052745,"Other","Neurology"
"PSRC1","M47_status",0.038524052,0.111332056,2.356178796,0.018467841,0.039692278,-4.664228753,"Other","Oncology"
"PTH","M47_status",0.083418006,0.041941202,3.591741693,0.000328837,0.00097188,-0.919086071,"Other","Neurology"
"PTPRN2","M47_status",0.032766671,0.000274865,3.565289829,0.000363787,0.001064413,-1.099925722,"Other","Neurology"
"QDPR","M47_status",0.031240978,0.012966099,2.589352883,0.009618366,0.021896017,-4.09716112,"Cardiometabolic","Cardiometabolic"
"RAB44","M47_status",0.042052795,0.055693941,3.319833194,0.000901435,0.002485748,-1.868103951,"Other","Oncology"
"RALY","M47_status",0.056263745,0.047205045,4.098257367,4.17e-05,0.00014157,1.006729085,"Other","Oncology"
"RASSF2","M47_status",0.097035604,0.062313515,6.013126648,1.83e-09,9.55e-09,10.58005331,"Other","Oncology"
"RBKS","M47_status",0.037293473,0.02969667,2.534277941,0.011270937,0.025225842,-4.226382175,"Other","Neurology"
"RCOR1","M47_status",0.048043079,0.085352057,3.89791644,9.71e-05,0.000311025,0.136849189,"Cardiometabolic","Cardiometabolic"
"REPS1","M47_status",0.028255443,0.031306906,2.649790673,0.008057078,0.018676319,-3.851546438,"Inflammation","Inflammation"
"RFC4","M47_status",0.014050314,0.011353804,2.360745263,0.018242533,0.039294711,-4.58085557,"Other","Oncology"
"RGMA","M47_status",-0.030154156,0.002169562,-3.438675087,0.000585026,0.001657008,-1.55168179,"Other","Neurology"
"ROBO2","M47_status",0.032781249,0.004513843,4.900189583,9.6e-07,3.84e-06,4.519566473,"Other","Neurology"
"RPA2","M47_status",0.035128213,0.023540231,4.074106667,4.63e-05,0.000156005,0.916274757,"Inflammation","Inflammation"
"RPL14","M47_status",0.050976131,0.043457828,4.508601052,6.54e-06,2.39e-05,2.775878288,"Cardiometabolic","Cardiometabolic"
"RRM2","M47_status",0.053772369,0.068655798,3.82676903,0.000129993,0.000409892,-0.134427228,"Other","Oncology"
"S100A14","M47_status",0.042783986,0.06849952,2.956366846,0.003114491,0.007807597,-3.002681986,"Other","Neurology"
"SAMD9L","M47_status",0.049358445,0.038110059,2.437171826,0.014806008,0.032321106,-4.477255332,"Inflammation","Inflammation"
"SCAMP3","M47_status",0.06476088,0.058302176,2.728690328,0.006360804,0.014969912,-3.726328317,"Other","Oncology"
"SCGB1A1","M47_status",0.038337554,-0.05754645,2.396781331,0.016543327,0.035872512,-4.578409226,"Inflammation","Inflammation"
"SCGB3A1","M47_status",0.021214551,0.006740859,2.804073521,0.005048359,0.012156468,-3.43076586,"Inflammation","Inflammation"
"SCIN","M47_status",-0.050882794,0.069793455,-2.504256708,0.012274539,0.027263281,-4.213722904,"Other","Neurology"
"SCRN1","M47_status",0.039713131,0.044289017,2.566025057,0.010289944,0.02311876,-4.156045586,"Inflammation","Inflammation"
"SCT","M47_status",-0.044637927,0.015143496,-3.466387827,0.00052801,0.00150573,-1.359532626,"Other","Neurology"
"SDK2","M47_status",-0.027552428,0.019142002,-2.57507995,0.010024941,0.02264521,-4.044060563,"Inflammation","Inflammation"
"SEMA4C","M47_status",0.047072065,0.011472247,6.093226258,1.11e-09,5.91e-09,11.05780478,"Other","Oncology"
"SEPTIN9","M47_status",0.025550039,0.032055902,3.222898217,0.001269799,0.003410947,-2.260902415,"Other","Oncology"
"SERPINA1","M47_status",0.007665325,-0.000750078,3.434220792,0.000594807,0.00168308,-1.478516011,"Inflammation","Inflammation"
"SERPINA5","M47_status",0.026615968,0.023924351,2.944858323,0.003232708,0.008083152,-3.034077715,"Inflammation","Inflammation"
"SERPINA7","M47_status",0.012953942,0.001279292,2.463045831,0.013779957,0.03026207,-4.338119071,"Inflammation","Inflammation"
"SERPINE1","M47_status",0.059566729,-0.043671976,3.164697928,0.001553332,0.004101526,-2.454717412,"Cardiometabolic","Cardiometabolic"
"SERPINH1","M47_status",0.097502585,0.010165639,2.711889984,0.006692679,0.01568781,-3.685945913,"Other","Oncology"
"SFTPA1","M47_status",0.044212057,0.100914487,2.802617033,0.00507092,0.012190036,-3.516785982,"Other","Oncology"
"SFTPD","M47_status",0.050553082,0.012393118,2.669331084,0.007602631,0.017707163,-3.889867566,"Cardiometabolic","Cardiometabolic"
"SHMT1","M47_status",0.083138828,0.00336138,3.488180468,0.000486724,0.001396167,-1.378079813,"Inflammation","Inflammation"
"SIGLEC5","M47_status",0.120784309,-0.300180667,3.687458017,0.000226738,0.000687505,-0.664851297,"Other","Neurology"
"SIRPA","M47_status",0.046184146,-0.079226105,2.939784091,0.003285864,0.008202034,-3.135421388,"Cardiometabolic","Cardiometabolic"
"SKAP1","M47_status",0.097890453,0.031403274,4.726196086,2.29e-06,8.81e-06,3.694555075,"Other","Neurology"
"SLC13A1","M47_status",-0.042758871,0.110687557,-2.571108553,0.010140566,0.022835806,-4.064248013,"Other","Oncology"
"SLMAP","M47_status",0.072332349,0.086737006,3.090175922,0.002001611,0.0051914,-2.601067256,"Other","Oncology"
"SORD","M47_status",0.050196672,9.72e-05,2.574287777,0.010047424,0.022678471,-4.141231105,"Other","Oncology"
"SOX9","M47_status",0.020843121,-0.008415625,2.771283378,0.005585948,0.013285376,-3.518094618,"Other","Neurology"
"SPTLC1","M47_status",0.033636488,0.052846819,3.254944662,0.001134988,0.00308038,-2.078337634,"Other","Neurology"
"ST3GAL1","M47_status",0.042183196,0.04055724,3.504908252,0.000457154,0.001316514,-1.315669594,"Other","Oncology"
"STAT2","M47_status",0.049012609,0.048488425,2.277713983,0.022748453,0.047699949,-4.76441703,"Inflammation","Inflammation"
"STX4","M47_status",0.080044783,0.097047624,4.721331325,2.35e-06,9e-06,3.668997878,"Other","Oncology"
"STX8","M47_status",0.046570045,0.05005847,3.412804733,0.000643475,0.001813768,-1.633678702,"Inflammation","Inflammation"
"SUMF1","M47_status",0.043762771,0.134099887,2.382094459,0.017218753,0.037226638,-4.522233949,"Inflammation","Inflammation"
"SUMF2","M47_status",0.04104711,-0.035847823,2.796700487,0.005164633,0.012375315,-3.546100053,"Other","Neurology"
"SYT1","M47_status",0.035783618,0.035394764,3.266948897,0.001087952,0.002958219,-2.039358098,"Other","Neurology"
"TALDO1","M47_status",0.048209258,0.02401185,3.763069483,0.000168055,0.000521471,-0.306034981,"Cardiometabolic","Cardiometabolic"
"TARBP2","M47_status",0.051041637,0.031731263,2.317170069,0.020498462,0.043418119,-4.753664809,"Other","Neurology"
"TAX1BP1","M47_status",0.043947854,0.093276103,2.459028551,0.013935116,0.030568242,-4.342755213,"Other","Neurology"
"TCL1A","M47_status",0.123347035,0.007000535,4.419681026,9.91e-06,3.54e-05,2.298753014,"Other","Neurology"
"TCL1B","M47_status",-0.055000322,0.140514541,-2.533462592,0.011297173,0.025245899,-4.234918719,"Cardiometabolic","Cardiometabolic"
"TDRKH","M47_status",0.075786716,0.097213712,3.220110777,0.001282224,0.003438477,-2.262727854,"Other","Neurology"
"TEF","M47_status",0.03079004,0.016441447,2.605326139,0.009181821,0.021016808,-3.963238358,"Cardiometabolic","Cardiometabolic"
"TEX101","M47_status",-0.068631959,0.130519434,-3.348293901,0.000813796,0.002265453,-1.760166298,"Other","Neurology"
"TFRC","M47_status",0.036913542,0.030089804,3.366613714,0.000761526,0.00212805,-1.795399719,"Cardiometabolic","Cardiometabolic"
"TGFBI","M47_status",-0.018582886,0.003453019,-2.463648841,0.013756339,0.030232917,-4.4138991,"Cardiometabolic","Cardiometabolic"
"TGFBR1","M47_status",0.020363663,0.00722894,3.344222974,0.000825831,0.002296768,-1.779176398,"Inflammation","Inflammation"
"THPO","M47_status",0.035068233,0.012365823,3.285447546,0.001018897,0.002786003,-2.054881595,"Cardiometabolic","Cardiometabolic"
"TIGAR","M47_status",0.067603595,0.004743513,5.191918699,2.09e-07,9.16e-07,5.999431547,"Other","Neurology"
"TIGIT","M47_status",0.027004729,0.024707055,2.665484552,0.007690554,0.017883445,-3.810190903,"Other","Oncology"
"TIMP3","M47_status",0.158889591,0.143632544,4.363575245,1.28e-05,4.53e-05,2.045235767,"Inflammation","Inflammation"
"TLR4","M47_status",0.022049799,0.003765326,2.83900448,0.004527549,0.011055994,-3.334457597,"Inflammation","Inflammation"
"TMEM132A","M47_status",-0.041242688,-0.012801358,-2.363176964,0.018123377,0.039095669,-4.563353134,"Cardiometabolic","Cardiometabolic"
"TMPRSS11D","M47_status",0.035065316,0.031525468,3.22799077,0.001247531,0.003360859,-2.164036781,"Other","Neurology"
"TNFRSF10C","M47_status",0.045569835,-0.061268686,3.343325467,0.000828395,0.002301711,-1.872162611,"Cardiometabolic","Cardiometabolic"
"TOP2B","M47_status",0.083034089,0.057378356,3.723594098,0.000196654,0.000602537,-0.444318782,"Inflammation","Inflammation"
"TOR1AIP1","M47_status",0.045927619,0.04516749,3.080900331,0.002065042,0.005327553,-2.617975857,"Cardiometabolic","Cardiometabolic"
"TPSAB1","M47_status",0.064516043,-0.009438562,4.457538635,8.31e-06,2.99e-05,2.456241527,"Inflammation","Inflammation"
"TXN","M47_status",0.033077009,0.045120647,2.686510953,0.007222963,0.016890177,-3.760347479,"Inflammation","Inflammation"
"TYRO3","M47_status",0.019566411,-0.000935028,2.503082796,0.012314743,0.027331811,-4.318320014,"Cardiometabolic","Cardiometabolic"
"VAT1","M47_status",0.016271464,0.005737322,2.96030228,0.003074779,0.007725472,-3.069843746,"Other","Oncology"
"VSIR","M47_status",0.039241699,0.088140333,2.321324627,0.020273216,0.043065851,-4.754663317,"Cardiometabolic","Cardiometabolic"
"VSTM1","M47_status",0.042857083,0.013083518,3.155219985,0.001604715,0.004210578,-2.468825433,"Other","Neurology"
"WASHC3","M47_status",0.059600379,0.096135602,2.781960349,0.005405429,0.012876991,-3.500024157,"Other","Neurology"
"XIAP","M47_status",0.041926018,0.058140055,2.601537846,0.009283825,0.021217061,-3.977709942,"Inflammation","Inflammation"
"XRCC4","M47_status",0.023219839,0.015793091,2.275214035,0.02289728,0.047943229,-4.849662782,"Other","Neurology"
"YTHDF3","M47_status",0.05454843,0.013733442,2.335784029,0.019506389,0.041618375,-4.712821349,"Inflammation","Inflammation"
"YWHAQ","M47_status",0.051797855,0.039360563,2.517697196,0.011816018,0.026344943,-4.189564799,"Inflammation","Inflammation"
"ZBP1","M47_status",0.044156009,0.062550214,3.856721476,0.000115083,0.000364847,0.058048729,"Inflammation","Inflammation"
"ZHX2","M47_status",0.050530916,0.044260656,5.292635637,1.21e-07,5.46e-07,6.591788457,"Other","Neurology"
